"table_name","column_name","data_type","is_nullable","column_default"
"admin_audit_log","id","integer","NO","nextval('admin_audit_log_id_seq'::regclass)"
"admin_audit_log","admin_id","integer","NO",
"admin_audit_log","action","text","NO",
"admin_audit_log","target_type","text","NO",
"admin_audit_log","target_id","text","YES",
"admin_audit_log","details","text","YES",
"admin_audit_log","ip_address","text","YES",
"admin_audit_log","user_agent","text","YES",
"admin_audit_log","created_at","timestamp without time zone","YES","now()"
"badges","badge_id","integer","NO","nextval('badges_badge_id_seq'::regclass)"
"badges","name","text","NO",
"badges","type","text","NO",
"badges","requirement","text","NO",
"badges","description","text","NO",
"badges","icon_url","text","NO",
"badges","created_at","timestamp without time zone","NO","now()"
"blood_donations","id","integer","NO","nextval('donations_id_seq'::regclass)"
"blood_donations","created_at","timestamp without time zone","YES","now()"
"blood_donations","donorId","character varying","NO",
"blood_donations","recipientId","character varying","NO",
"blood_donations","recipient_name","text","NO",
"blood_donations","hospital_name","text","NO",
"blood_donations","donation_date","text","NO",
"blood_donations","blood_group","text","NO",
"blood_donations","units_given","integer","NO",
"blood_donations","status","text","YES","'completed'::text"
"blood_donations","notes","text","YES",
"blood_donations","rating","integer","YES",
"blood_donations","testimonial","text","YES",
"blood_donations","donation_type","text","YES",
"blood_donations","hemoglobin","numeric","YES",
"blood_inventory","id","integer","NO","nextval('blood_inventory_id_seq'::regclass)"
"blood_inventory","blood_group","text","NO",
"blood_inventory","units","integer","NO","0"
"blood_inventory","critical_threshold","integer","NO","10"
"blood_inventory","last_updated","timestamp without time zone","YES","now()"
"blood_issuance","id","integer","NO","nextval('blood_issuance_id_seq'::regclass)"
"blood_issuance","blood_group","text","NO",
"blood_issuance","units","integer","NO",
"blood_issuance","recipient","text","YES",
"blood_issuance","hospital","text","NO",
"blood_issuance","purpose","text","YES",
"blood_issuance","issuance_date","timestamp without time zone","NO",
"blood_issuance","admin_id","integer","YES",
"blood_issuance","created_at","timestamp without time zone","YES","now()"
"bulk_operations_log","id","integer","NO","nextval('bulk_operations_log_id_seq'::regclass)"
"bulk_operations_log","admin_id","integer","NO",
"bulk_operations_log","operation","text","NO",
"bulk_operations_log","target_type","text","NO",
"bulk_operations_log","total_records","integer","NO",
"bulk_operations_log","success_count","integer","NO",
"bulk_operations_log","failure_count","integer","NO",
"bulk_operations_log","details","text","YES",
"bulk_operations_log","created_at","timestamp without time zone","YES","now()"
"communication_logs","id","integer","NO","nextval('communication_logs_id_seq'::regclass)"
"communication_logs","from_user_id","integer","YES",
"communication_logs","to_user_id","integer","NO",
"communication_logs","request_id","integer","YES",
"communication_logs","communication_type","text","NO",
"communication_logs","status","text","NO",
"communication_logs","duration","integer","YES",
"communication_logs","content","text","YES",
"communication_logs","metadata","json","YES",
"communication_logs","created_at","timestamp without time zone","NO","now()"
"donation_appointments","id","integer","NO","nextval('donation_appointments_id_seq'::regclass)"
"donation_appointments","seeker_id","integer","NO",
"donation_appointments","request_id","integer","YES",
"donation_appointments","appointment_date","timestamp without time zone","NO",
"donation_appointments","appointment_time","text","NO",
"donation_appointments","location","text","NO",
"donation_appointments","hospital_name","text","NO",
"donation_appointments","status","text","NO","'scheduled'::text"
"donation_appointments","donor_confirmed_at","timestamp without time zone","YES",
"donation_appointments","seeker_confirmed_at","timestamp without time zone","YES",
"donation_appointments","completed_at","timestamp without time zone","YES",
"donation_appointments","cancelled_at","timestamp without time zone","YES",
"donation_appointments","cancellation_reason","text","YES",
"donation_appointments","notes","text","YES",
"donation_appointments","google_calendar_event_id","text","YES",
"donation_appointments","reminders_sent","integer","NO","0"
"donation_appointments","created_at","timestamp without time zone","NO","now()"
"donation_appointments","updated_at","timestamp without time zone","NO","now()"
"donation_appointments","donorid","integer","NO",
"donation_history","id","integer","NO","nextval('donation_history_id_seq'::regclass)"
"donation_history","user_id","integer","NO",
"donation_history","hospital_name","text","NO",
"donation_history","hospital_location","text","NO",
"donation_history","donation_date","text","NO",
"donation_history","donation_type","text","NO",
"donation_history","donation_picture","text","YES",
"donation_history","created_at","timestamp without time zone","YES","now()"
"education_history","id","integer","NO","nextval('education_history_id_seq'::regclass)"
"education_history","user_id","integer","NO",
"education_history","institution_name","text","NO",
"education_history","course","text","NO",
"education_history","institution_type","text","NO",
"education_history","start_date","text","NO",
"education_history","end_date","text","YES",
"education_history","is_graduated","boolean","YES","false"
"education_history","description","text","YES",
"education_history","created_at","timestamp without time zone","YES","now()"
"emergency_blood_requests","id","integer","NO","nextval('emergency_requests_id_seq'::regclass)"
"emergency_blood_requests","patient_name","text","NO",
"emergency_blood_requests","patient_age","integer","NO",
"emergency_blood_requests","blood_group","text","NO",
"emergency_blood_requests","units_required","integer","NO",
"emergency_blood_requests","hospital_name","text","NO",
"emergency_blood_requests","doctor_name","text","NO",
"emergency_blood_requests","hospital_address","text","NO",
"emergency_blood_requests","required_by","text","NO",
"emergency_blood_requests","contact_number","text","NO",
"emergency_blood_requests","additional_info","text","YES",
"emergency_blood_requests","is_critical","boolean","YES","false"
"emergency_blood_requests","status","text","YES","'pending'::text"
"emergency_blood_requests","requester_id","integer","YES",
"emergency_blood_requests","documents","jsonb","YES",
"emergency_blood_requests","created_at","timestamp without time zone","YES","now()"
"emergency_blood_requests","updated_at","timestamp without time zone","YES",
"emergency_blood_requests","responder_id","integer","YES",
"emergency_blood_requests","emergency_type","text","YES",
"emergency_blood_requests","upazila","text","YES",
"emergency_blood_requests","district","text","YES",
"emergency_blood_requests","division","text","YES",
"emergency_blood_requests","latitude","numeric","YES",
"emergency_blood_requests","longitude","numeric","YES",
"emergency_blood_requests","contact_person","text","YES",
"emergency_blood_requests","reason","text","YES",
"emergency_blood_requests","auto_approved","boolean","YES",
"emergency_blood_requests","approved_at","timestamp without time zone","YES",
"emergency_blood_requests","approval_type","text","YES",
